vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,fork_r_1_LENGTH,cylinder_1_LENGTH,fork_l_2_LENGTH,fork_r_2_LENGTH,tbar_cross_2_LENGTH,post_r_1_LENGTH,tbar_post_1_LENGTH,tbar_post_3_LENGTH,tbar_post_2_LENGTH,post_r_2_LENGTH,cylinder_0_LENGTH,fork_l_1_LENGTH,post_l_1_LENGTH,post_l_2_LENGTH,tbar_cross_1_LENGTH,tbar_cross_3_LENGTH,t_post_mp_top_prop_DIAMETER,t_post_mp_bottom_prop_DIAMETER,tail_tbar_cross_mp_prop_DIAMETER,fork_post_mp_1_prop_DIAMETER,t_cross_mp_bottom_prop_DIAMETER,tail_tbar_post_mp_prop_DIAMETER,fork_post_mp_2_prop_DIAMETER,fork_post_mp_3_prop_DIAMETER,t_cross_mp_top_prop_DIAMETER,fork_post_mp_4_prop_DIAMETER,right_wing_CHORD_1,right_wing_CHORD_2,right_wing_SPAN,left_wing_CHORD_1,left_wing_CHORD_2,left_wing_SPAN
tbar_double,1643501.8878366426,3225315.300461367,3373536.652733879,-396.20833202716017,-29.290575511644356,-14.091371546723389,1487.9257082981474,2007.8704783861222,1481.7027110267197,1503.7241864672872,992.4771609238336,486.18061073512655,1985.9224473872841,2007.1964943705143,2014.9026013975872,485.4436071147729,1992.489176987203,1507.1643592132002,485.5791926097371,504.3410238792745,992.8072907367305,986.5660796974479,1592.9572849016276,1556.5774598240957,1594.7076097730649,1563.9531047538858,1556.6535296805746,1580.4744087651964,1585.2440460939154,1559.7719224543569,1577.9062259120903,1567.0813253311114,1389.1078031172046,1392.8313027843121,7987.475468058113,1413.1298090828266,1414.5267078994718,7994.480771172178
tbar_double,1644677.9394449566,3228060.8470549504,3370890.8424020824,-395.45322394945634,-19.13607607527601,-13.75113370549956,1469.0717263816064,2018.8084430832043,1491.4311917920006,1503.3763079247362,987.764743897615,500.35824868246107,1983.3955607789683,1996.8632291019733,2022.3386532471898,470.05632760252286,1980.6274991018831,1523.701526952503,496.9365769119432,512.5475504601967,976.7329187951057,972.1288417719087,1612.4900341018638,1541.0124984354654,1594.7440591244704,1577.464150521735,1559.7194874288268,1565.3194875250226,1596.0990960867862,1548.9674240238232,1558.9297465268673,1575.4534627186938,1402.5668463194274,1380.6225797360487,7992.1088289904,1411.3160578952197,1411.822035957326,7990.965216504151
tbar_double,1661053.7218609264,3227734.7145757927,3378234.4737038133,-399.28514958313826,-53.1115845281098,-15.082441239070354,1477.6516116674243,2028.2375018778791,1488.9051467731979,1498.6056547062835,994.8131738841784,512.0238701492283,1994.797231343339,1993.6683994151435,2029.6490497938553,459.4479479654337,1992.9119855244676,1539.0522352416542,491.8661572433461,506.8946349056463,991.0347511480581,983.1044746057803,1601.9895274204555,1526.5888765660798,1577.2986112752592,1563.2816603678134,1546.70169867263,1561.0649318945627,1579.9917998075673,1542.085914007173,1570.2468007568264,1563.2001956128802,1384.9701523033625,1377.5645414592946,7998.303744937948,1430.3640706645942,1426.8325222234607,7982.411772300066
tbar_double,1652972.6908415423,3240135.270370406,3380813.704638027,-399.0900794608769,-52.94903717591339,-13.60372202037627,1460.9369214168635,2023.932442595588,1500.5230884977307,1510.1716836154885,983.5282757358248,516.3618276914674,1983.5115500849272,2008.0919265480936,2032.4899587766558,449.48617244940846,2002.5986080064667,1557.2625828856292,506.08514384080104,520.1541340789938,980.8769057330937,995.2770983957292,1602.3665277854814,1508.4783699884863,1592.2227430886776,1558.4983609928825,1527.2281912273354,1542.049681186522,1561.584690403893,1545.4076953627018,1561.6965909931446,1574.5820242254874,1400.4427665398755,1368.654830216341,8002.311941188457,1438.9470021813827,1413.028605965894,7978.405350629924
tbar_double,1664842.461426461,3227287.218496896,3372968.896026586,-399.80992384943147,-38.47706900854241,-14.955050709625656,1443.6574363582945,2020.2400819820589,1485.2467571376278,1528.678958583841,971.2686761017626,524.4669067266452,2002.4468044445834,2009.0473074758186,2044.474822117226,452.7718552124106,1991.7224661293556,1546.2390465709607,522.5010136773991,510.41663152377083,964.8494014053384,1006.2403205202405,1593.4834775055049,1498.3413754085043,1583.2146869581898,1577.6226201742836,1517.00658626287,1545.943483303938,1546.3877842588236,1564.8346626712755,1564.3974644654681,1568.3436385269015,1404.8636581962942,1376.9578157163012,8013.280804434939,1434.1042703432638,1395.8837430917451,7992.79226087966
tbar_double,1663955.4118073825,3225814.560501476,3374175.192034147,-399.68813630234587,-46.08093149813087,-14.794150625862567,1426.6498467255599,2038.8802887187467,1483.464492882616,1526.4693327076156,972.1075483336243,539.7423650076853,2020.4307554921988,2015.9956713511563,2059.29426980871,449.14607087226614,1984.5610074600459,1565.6213622469202,512.27637887809,495.2972302012816,958.2611341987621,997.5268915747821,1594.5578842106756,1495.3712654613228,1587.320902243703,1569.8337429444725,1512.0124086365915,1552.2280205242832,1550.7777744870853,1546.4457920317864,1546.3766961182564,1578.2787847392844,1406.8742360003027,1369.6416600574255,8004.612670889156,1438.4118211056314,1413.176460404674,7994.137140290622
tbar_double,1659962.7847925331,3236275.836961786,3365421.4422413516,-396.3415806947826,-46.5190364207364,-14.03645354676611,1418.3009117033007,2020.0363560268984,1483.8899766964935,1507.8560981346154,956.7960113848022,527.0349523732175,2018.233536748183,2013.137528148369,2069.4820799639974,442.4307537734519,1995.8439232392273,1556.0056362116454,494.8167840866837,511.3169513042105,947.2317035334229,980.5692155993479,1598.6014390256798,1495.271068588883,1593.8153461402298,1550.2075945872236,1530.7501066078426,1559.3699667161306,1547.4285281894577,1545.6919765751131,1549.5514862400744,1593.9567944776634,1407.132034355254,1370.6198212792096,7987.324621264738,1431.053427555017,1405.3399675623564,8002.140490466941
tbar_double,1643963.8233629353,3237545.639085256,3368297.139831557,-398.7620496416409,-33.237797855576154,-14.910508444711807,1433.587799343187,2034.1673657580304,1496.3525321192708,1488.5089795131182,944.0347161074643,517.4703036133616,2019.3939703290068,1996.451005715966,2084.232682569707,456.45825050708186,2012.9304119809215,1559.2400018911628,485.40946825636263,503.89860126901306,956.6203101784989,992.8230940329742,1594.435623826145,1511.918300128994,1592.98169375073,1553.1235307104646,1531.375029306213,1539.9461230055424,1536.138631095578,1559.9238849379735,1557.4327573103283,1600.3395637428055,1406.2940693021765,1389.409271334145,7974.7355702992845,1418.349271427829,1404.62750618008,8001.339041007157
tbar_double,1656720.815174438,3228004.7210677974,3364152.562859118,-394.4791061812788,-8.765214389210776,-12.027736330841961,1416.9435560174666,2028.4018378060389,1498.9967053694781,1478.0947988357007,950.965568763861,528.2642797806541,2036.347920997504,2005.7768453071326,2102.4577962204785,455.12224325769944,2010.4958740669185,1543.9734380560847,505.3375344253913,502.27728642132894,950.6724121537432,978.5724561619287,1607.872148375794,1517.9521910700155,1592.728623088743,1549.79422122287,1542.9870501396451,1532.0646464277002,1541.2863835994156,1542.944486018116,1564.2175186724614,1611.4762309018506,1420.2429662828065,1371.4383591446176,7971.935431763959,1404.9969268899576,1396.652469242902,7989.441065739255
tbar_double,1658185.3248248815,3228502.537832978,3364953.5076487716,-396.6310698006309,-11.6260210524922,-16.72905465965027,1426.2872263339718,2024.9661115801784,1516.3134996377412,1466.2036710225518,949.5793025161064,545.9194237913235,2032.6053322420064,2008.9678898405493,2113.4585654689627,456.14813396222064,2001.1382910970424,1539.7046976811105,515.8583991924957,494.94361487475203,958.1700890562823,986.3594754563928,1621.19964088017,1527.7085037671593,1609.0921834545702,1537.6222634517442,1556.0190278484042,1526.1891914836908,1526.210265618181,1528.8866957469932,1545.1573528678489,1618.2632755918314,1420.2386549362288,1367.22305082458,7956.3747884709,1401.8130946135836,1401.3609627361454,7975.29960253942
