vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,leg_3_LENGTH,leg_2_LENGTH,arm_1_LENGTH,arm_4_LENGTH,leg_4_LENGTH,arm_2_LENGTH,leg_1_LENGTH,arm_3_LENGTH
quad,15994.026116937464,24112.22573789773,22629.852049966747,21.22330379826688,4.423700456120963,12.139137051090298,95.03542097092354,103.86976779720848,215.5276232234611,222.9865018030374,99.23967444761163,200.95468326098646,98.69607794006669,224.48908599713417
quad,15392.887213135658,23370.465724821315,22705.486665364508,22.319628662825384,5.583653569037633,8.369513194095399,82.96657844725398,86.16841513596498,210.68862198329006,221.73706707537715,80.86706930394583,216.36258885225487,93.13008976046625,221.91027374517472
quad,14672.545849215905,23073.86920093122,23044.14793039441,24.79368523213721,5.83549740003818,3.5526827116535844,73.14569853458485,79.57865725444819,190.70012480496004,234.59765936189532,65.11571869268695,234.62955758150284,74.92827857322767,239.61903814584795
quad,14668.578695980725,22299.811151502206,23089.570573795256,22.621282266229432,3.5156118088589796,3.3981577024174268,68.97104872593847,61.57512155001256,207.8302925453345,228.41274813006476,64.62616454063112,229.98285240272932,70.4894445052102,237.34459550708263
quad,14652.195313425254,22503.184292530954,23244.44619121185,22.96398487290857,2.4723105053963805,2.547893279497633,64.09562543848259,53.599382042551674,203.3096871513889,230.30058313335357,70.10815128684081,246.65880060038398,62.989849003808736,236.43901065305164
quad,14888.549417893826,22191.00535588953,22988.21247876324,22.228947801184976,10.031098645599162,1.9278905213111264,50.30752089768703,42.233089785861566,189.99468721602423,230.00715575584147,56.78751990340842,258.4239565378996,79.76257421910209,216.83615609295404
quad,14463.469948948332,22394.706834687768,22862.515338199668,17.99947854952517,4.1498038519586435,0.8463463335125292,69.80681571677196,31.476994248001574,185.58417301836872,213.33634580539766,41.859460658813035,264.49330596659956,82.526066113882,221.2765929617791
quad,14729.543029997718,22624.77257826956,22720.709455021326,20.110563831153605,12.154939731228339,1.2864113553715237,52.557612384322766,19.187226156439902,178.93783364032794,212.0012320817004,40.816116109021024,280.42680761734294,87.8318739694023,201.5267124996115
quad,14778.846366130814,22841.7928621349,22821.676144507746,24.952942021860203,7.039295729199615,2.7315831050641126,67.4480566108102,4.976541759905203,197.63061149680783,215.271546983032,51.598892027764634,264.8797908159507,93.92330863048272,203.5112291586973
quad,14455.704617220144,22939.145338077913,22718.602501104975,29.766950783634062,10.926945495708013,4.1310188898587334,78.83935657039079,24.113668077188358,202.54544453805244,220.88334792116387,40.598927612848414,253.3759991250121,112.91586997966017,195.56784059667677
